author,channel,cid,heart,photo,text,time,votes
MonoFootball,UCPUlfPzDPe1XeO-cWMl5HJg,UgwJAxrgmGYBAtnoCSt4AaABAg,0.0,https://yt3.ggpht.com/NoX19t-dE9nLfGdnnJIMMMGgjiwKl7IGxLRBZ1UQRB2frxTPJZNQatYu1fgBG9zEb5fx1oym=s176-c-k-c0x00ffffff-no-rj,Your Like & Subscription - My Motivation 🙂👍🏻,1 month ago,58
Rizwan Shaikh,UCqYqzzFdVA0bKHJM9i9UzjA,UgyMVOu67onZruvNcZh4AaABAg,0.0,https://yt3.ggpht.com/GBS9dvqJCUdnhjcBZ4k_P3lYX8YGZatVYGIH34KKzcRAlRjvNSyGxQcwDIFBk_O2DXhsBRq5QT0=s176-c-k-c0x00ffffff-no-rj,Thiago doesn't want another haaland to dominate football in 20 years time🤣,1 month ago,312
The strangest artist🎨,UCj7DKx22mFifNgNW9TR2B6g,UgyQyxvDnCxThhuTZHZ4AaABAg,0.0,https://yt3.ggpht.com/jV5NIFC2aTBExq1cTGQcSM3sgpnoxQT3lQq4uwxfnbGZfSwyjlkSQvT9f1j-cjvsjDJYRjut=s176-c-k-c0x00ffffff-no-rj,"4:19
Little did he know he scored the easiest goal that season",6 days ago (edited),2
Dr. Ian Leizrev ง,UCEWNdqKHl_v7ADWwjoTAhSQ,UgwxHZ4hLRuCHlsd25R4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu98EkhGCKTPfXuqScrN-mgk4GxFfyi7DLPfQDPOTQ=s176-c-k-c0x00ffffff-no-rj,2:17 Props to the photographer who caught the Haaland-Thiago moment. That was very fast.,2 weeks ago (edited),5
Adebola Adesupo,UCAEb_cUnLDNP_Skyo_00vyw,UgxUDGM6FuaiMhPuvEV4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu-wHkPaIFOzucHoDi9XpOu3jQLNKS-9_AoS-BJXgw=s176-c-k-c0x00ffffff-no-rj,Klopp's face🤣🤣🤣,1 month ago,60
egg,UCiw4xlqumG52myYnGPB7ppA,UgzRUPEQrZS3jhBf0vV4AaABAg,0.0,https://yt3.ggpht.com/PeupKOCznSfTl2YdUUsdokP2maM3GHGVLqDQ8IRnjPDy78MWtmFQehPaWKv-qRtS0k25ozwhcA=s176-c-k-c0x00ffffff-no-rj,Thiago can control 3 balls at once🤣🤣🤣,1 month ago,45
BakLoL Bakri!!,UClceMKUc5axYBpr8v_N9Z4Q,UgzY6DPi5dLZQzK1xvp4AaABAg,0.0,https://yt3.ggpht.com/qVCDvpdHQPFFgPW5kfYsRoo33o6OWNBkyOrz7qs8jXyXRVmYo1uSmc8ZEcA-ev4n_q88SeYEZw=s176-c-k-c0x00ffffff-no-rj,Grealish just lifted him up like it was nothing lol,1 month ago,8
Kick-Off Files,UCeXiDfjcJtrLB-7FG1wRVLA,UgxxI68Z0gMFK7j4nL54AaABAg,0.0,https://yt3.ggpht.com/hlZOcHRK4R-RZOAhpB_bGtWiLpyzk036Q3Y5xOVYAviqgmF0sCfRQQbB0AhmNC-Jo4N-3lnvAQ=s176-c-k-c0x00ffffff-no-rj,Mourinho and Klopp are really funny and unique coaches!,3 weeks ago,0
rapidffx,UCQ467FLK3YLy3tyrdLlitNA,UgzH2bP2sXeZS4ky47F4AaABAg,0.0,https://yt3.ggpht.com/N5Phpbq6VndAx9LyRjZknP7j_df_JJKoLzL6j8ChpQuzS9ZN_DT21rqBZ68ABrVrFZfFeZpzWA=s176-c-k-c0x00ffffff-no-rj,5:41 Is Unbelievable The Keeper Dived Early😂,1 month ago,16
Naren Maharaja,UCVcbVbvWK1FpVnpxsFatGOw,UgzxdU7zHLYGqDwtXKt4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu9OfaY9q1GWyKzly4YvBAMhq6WZIaBkllIb1g=s176-c-k-c0x00ffffff-no-rj,"Haaland , the real MAN OF STEEL 😂🔥",1 month ago,18
